Name,Return,Total Trades,% Profitable,Drawdown,Avg Trade,Avg Days
DELHIVERY.NS,2.2758263343723075,6,50.0,-3.7241736656276827,0.3793043890620513,0.0
DIVISLAB.NS,0.47276997556379197,20,40.0,-14.23750454496896,0.023638498778189597,0.75
DIXON.NS,-11.993249835677053,19,26.31578947368421,-20.27040755023866,-0.6312236755619501,0.21052631578947367
LALPATHLAB.NS,4.398387947827113,17,47.05882352941176,-10.583408036299756,0.2587287028133596,0.0
DRREDDY.NS,3.1684784812194553,19,42.10526315789473,-12.575342479110644,0.16676202532733975,0.47368421052631576
EICHERMOT.NS,3.5864935436873733,13,53.84615384615385,-9.720515512951646,0.27588411874518254,0.23076923076923078
EMAMILTD.NS,-4.301677554148372,12,41.66666666666667,-13.350057453307693,-0.3584731295123644,0.5833333333333334
ESCORTS.NS,1.5103361637731592,19,47.368421052631575,-15.490214557802654,0.07949137704069259,0.6842105263157895
NYKAA.NS,0.42857822538559365,14,50.0,-9.882239319212275,0.03061273038468526,0.0
FEDERALBNK.NS,7.540289182767224,15,60.0,-9.786390988560509,0.502685945517815,0.4
FORTIS.NS,10.40517725286823,19,57.89473684210527,-9.356200382474311,0.5476409080456963,0.0
GAIL.NS,-7.532449512975008,18,38.88888888888889,-20.612260875682924,-0.41846941738750043,0.3333333333333333
GLAND.NS,6.00642352474781,22,50.0,-14.0757639752522,0.2730192511249005,0.13636363636363635
GODREJCP.NS,-4.541925602317326,18,38.88888888888889,-18.246047291683773,-0.2523292001287403,0.8333333333333334
GODREJPROP.NS,-6.87448650982482,17,41.17647058823529,-18.038652597560958,-0.40438155940146,0.23529411764705882
GRASIM.NS,-11.756714588628714,14,21.428571428571427,-17.68395305298418,-0.8397653277591939,0.14285714285714285
GUJGASLTD.NS,8.012030170371617,20,55.00000000000001,-13.681638012507488,0.40060150851858084,0.25
GSPL.NS,9.044647860893617,14,57.14285714285714,-6.870424208299245,0.6460462757781155,0.35714285714285715
HCLTECH.NS,-14.426000171317181,24,29.166666666666668,-26.01586001432358,-0.6010833404715492,0.5833333333333334
HDFCAMC.NS,-5.508438058434496,22,36.36363636363637,-21.31951627003578,-0.25038354811065894,0.36363636363636365
HDFCBANK.NS,11.587147229550128,23,56.52173913043478,-11.971210613892334,0.5037890099804404,0.8695652173913043
HDFCLIFE.NS,2.7722705760321986,22,40.909090909090914,-14.810248513648915,0.1260122989105545,0.8181818181818182
HAVELLS.NS,5.461670657313281,18,50.0,-11.609417274587305,0.3034261476285156,0.16666666666666666
HEROMOTOCO.NS,-4.673756760058904,21,38.095238095238095,-19.829837000764847,-0.22255984571709067,1.0
HINDALCO.NS,-0.8847351614057242,25,44.0,-19.530265436527284,-0.03538940645622897,0.28
HAL.NS,-0.3332633825611291,12,50.0,-10.067477441891999,-0.027771948546760756,0.0
HINDPETRO.NS,-5.086209152901603,18,27.77777777777778,-16.793341980664028,-0.28256717516120017,0.7222222222222222
HINDUNILVR.NS,-5.301497716284088,21,33.33333333333333,-17.086217776844393,-0.25245227220400424,0.7619047619047619
HINDZINC.NS,1.04510340854328,24,37.5,-17.123741211213776,0.04354597535597,0.5416666666666666
HONAUT.NS,-0.7453522320625798,10,40.0,-8.745352232062588,-0.07453522320625798,0.1
HDFC.NS,10.350182490511859,25,56.00000000000001,-15.406891097955047,0.41400729962047433,0.68
ICICIBANK.NS,-4.720975996965091,22,36.36363636363637,-21.941330996622696,-0.21458981804386779,1.3181818181818181
ICICIGI.NS,-5.504293811117082,18,33.33333333333333,-17.492071374827642,-0.30579410061761564,0.2777777777777778
ICICIPRULI.NS,2.5897407579418656,23,43.47826086956522,-14.767498562826583,0.11259742425834199,0.34782608695652173
ISEC.NS,1.2085822419482641,17,47.05882352941176,-13.853148811353417,0.07109307305578025,0.17647058823529413
IDFCFIRSTB.NS,-1.745269824715261,16,43.75,-13.89034043347508,-0.10907936404470381,0.4375
ITC.NS,-11.506993388164592,16,18.75,-17.11392980434958,-0.719187086760287,0.4375
INDIAMART.NS,2.875490626020946,19,52.63157894736842,-15.479997528068601,0.15134161189583925,0.0
INDIANB.NS,11.822952062832858,20,60.0,-11.633430762173743,0.5911476031416429,0.05
IEX.NS,-2.811789424169741,22,45.45454545454545,-20.745253340911876,-0.12780861018953368,0.45454545454545453
INDHOTEL.NS,0.6235943273252607,18,44.44444444444444,-13.800503970878001,0.034644129295847814,0.0
IOC.NS,-2.4370335215497456,12,33.33333333333333,-9.814651432537476,-0.20308612679581214,0.5833333333333334
